urs,sequence_length,model_source,diagram_sequence_start,diagram_sequence_stop,diagram_bps,diagram_model_start,diagram_model_stop,model_length,model_basepair_count,diagram_overlap_count,label,prediction
URS00003E7535,333,ribovision,224,331,16,5,112,2921,776,0,0,0
URS00003E9100,1152,ribovision,2,1151,267,2937,4052,4123,1087,8,0,0
URS00003EA521,204,ribovision,5,159,34,4,158,5227,1553,0,0,0
URS00003ED7DA,319,ribovision,206,319,12,1,114,2925,772,0,0,0
URS00003EF5AF,816,ribovision,1,812,249,49,888,1542,507,0,1,1
URS00003F3D56,1779,ribovision,1,1759,488,1572,3356,3554,1065,5,1,1
URS00003F94D0,791,ribovision,332,790,193,1340,1804,5227,1553,8,0,0
URS00003F9E1A,600,ribovision,16,595,148,582,1116,3551,1009,20,0,0
URS00003FDAB6,3063,ribovision,10,3052,881,9,3114,3120,899,11,1,1
URS0000402D34,702,ribovision,5,701,223,32,771,1542,507,0,1,1
URS00004062DC,2546,ribovision,5,1610,472,180,1800,1800,560,0,1,1
URS0000406AA2,498,ribovision,25,496,108,870,1386,1559,373,1,0,0
URS0000406F88,577,ribovision,173,321,35,3,153,5227,1553,0,0,0
URS000040E5EA,567,ribovision,13,457,125,2254,2697,2925,772,0,0,0
URS000040FA9F,167,ribovision,13,165,21,4,151,4123,1087,0,0,0
URS0000416C97,2134,ribovision,1,2134,597,218,2301,3555,1065,20,1,1
URS0000417141,149,ribovision,7,148,20,9,149,5227,1553,0,0,0
URS0000419137,2174,ribovision,2,2126,531,201,2190,3555,1065,23,0,1
URS000041BE49,709,ribovision,12,708,155,1156,1819,5227,1553,6,0,0
URS000041E64D,3004,ribovision,1,3004,834,233,3235,3551,1009,12,1,1
URS0000420D68,157,ribovision,2,118,39,44,160,3555,1065,0,0,0
URS000042197F,1797,ribovision,3,1797,468,232,2041,3506,993,27,1,1
URS0000425D4D,556,ribovision,71,556,106,2,487,3137,912,11,0,0
URS0000425DC6,1558,ribovision,1,1558,373,1,1559,1559,373,4,1,1
URS0000429311,164,ribovision,4,162,21,2,159,3551,1009,0,0,0
URS000042C9CE,154,ribovision,1,153,26,2,154,3555,1065,0,0,0
URS000042EB9E,2856,ribovision,1,2855,859,21,2897,2922,891,12,1,1
URS0000432B05,582,ribovision,2,582,128,233,812,1559,373,2,0,0
URS0000434A9A,971,crw,1,54,26,1498,1551,1551,398,0,0,0
URS000043738A,990,ribovision,26,985,169,11,885,1559,373,3,0,0
URS0000437D7C,616,ribovision,225,389,46,3,166,3551,1009,6,0,0
URS0000438361,1648,ribovision,4,1641,383,52,1695,1808,459,0,1,1
URS0000438896,561,ribovision,195,558,56,1295,1671,5227,1553,0,0,0
URS000043BBB9,161,ribovision,2,142,31,22,161,3551,1009,0,0,0
URS000043C8FF,677,ribovision,69,670,156,156,755,3555,1065,9,0,0
URS000043D5F8,748,ribovision,74,747,176,1107,1779,5227,1553,7,0,0
URS000043E9BC,1746,ribovision,2,1745,540,25,1775,1800,560,0,1,1
URS00004412BF,773,ribovision,330,773,212,1342,1790,5227,1553,4,0,0
URS0000442B06,1368,ribovision,74,1341,325,105,1473,1559,373,2,1,1
URS0000445977,85,rfam,3,79,29,16,90,72,29,0,1,1
URS0000447B35,1187,ribovision,2,1186,284,181,1358,1559,373,6,1,1
URS0000448175,727,ribovision,1,627,162,199,828,3551,1009,7,0,0
URS00004489A0,427,ribovision,196,426,37,4,236,2925,772,0,0,0
URS000044AE13,164,ribovision,4,163,21,2,160,3551,1009,0,0,0
URS000044DE25,2944,ribovision,2,2943,831,132,3107,3137,912,19,1,1
URS0000450B32,434,ribovision,330,433,14,9,111,2911,868,0,0,0
URS0000457D54,261,ribovision,2,134,61,3154,3286,3506,993,7,0,0
URS000045BF62,344,ribovision,189,343,61,2460,2614,2922,891,0,0,0
URS000045FA7F,435,ribovision,2,127,35,33,158,5227,1553,0,0,0
URS000046063B,2506,ribovision,3,2505,622,436,2877,2925,772,4,1,1
URS000046634B,838,ribovision,47,551,138,956,1376,2925,772,8,0,0
URS000046FF33,2276,ribovision,1,2272,596,647,2924,2925,772,0,1,1
URS0000470B6A,2918,ribovision,3,2906,890,3,2915,2922,891,12,1,1
URS0000474AA3,504,ribovision,6,407,102,899,1301,2925,772,0,0,0
URS0000475186,2834,ribovision,1,2829,642,248,2943,3554,1065,30,0,1
URS000047521B,161,ribovision,2,134,31,29,160,3551,1009,0,0,0
URS0000477B2F,603,ribovision,4,600,124,223,812,1559,373,5,0,0
URS0000477D68,2892,ribovision,3,2889,852,5,2901,2904,860,3,1,1
URS000048523B,1456,ribovision,1,1452,372,1463,2924,2925,772,0,1,1
URS0000488590,158,ribovision,4,155,21,4,151,4123,1087,0,0,0
URS000048CD62,1461,ribovision,3,1453,373,1465,2923,2925,772,0,1,1
URS000048E473,107,ribovision,2,83,21,32,113,4123,1087,0,0,0
URS000048EC4B,302,ribovision,190,301,14,4,115,2925,772,0,0,0
URS000048FC19,163,ribovision,4,161,21,2,159,3551,1009,0,0,0
URS00004A2A8B,165,ribovision,2,155,27,8,160,3551,1009,0,0,0
URS00004A3420,731,ribovision,440,160,31,788,1070,1559,373,5,0,0
URS00004A34E0,157,ribovision,3,155,20,3,154,5227,1553,0,0,0
URS00004A5CBB,712,ribovision,405,712,149,1453,1755,5227,1553,16,0,0
URS00004A7406,3079,ribovision,7,3068,881,6,3114,3120,899,11,1,1
URS00004A982F,2851,ribovision,2,2850,866,3,2905,2922,891,12,1,1
URS00004ADAAD,110,ribovision,1,109,24,39,149,3506,993,0,0,0
URS00004AE1DB,6982,rfam,6691,6747,10,1,56,56,21,0,0,0
URS00004B2B9C,453,ribovision,5,453,96,892,1403,1559,373,1,0,0
URS00004B4EA1,189,ribovision,1,162,28,1,161,3551,1009,0,0,0
URS00004B8BB6,1800,ribovision,2,1800,452,224,2029,3506,993,26,1,1
URS00004B94CF,175,ribovision,2,120,24,44,161,3551,1009,0,0,0
URS00004B9563,158,ribovision,4,155,21,4,152,4123,1087,0,0,0
URS00004BA636,157,ribovision,3,154,20,3,153,5227,1553,0,0,0
URS00004BFECA,518,ribovision,2,518,132,568,1083,1800,560,0,0,0
URS00004C5ABC,2755,ribovision,1,2754,679,212,3031,3551,1009,19,1,1
URS00004C7A30,127,ribovision,2,116,24,47,160,3551,1009,0,0,0
URS00004C7C2E,94,crw,11,92,12,405,491,759,117,0,0,0
URS00004CC85B,107,ribovision,1,107,24,41,149,3506,993,0,0,0
URS00004CDBE6,112,ribovision,4,109,12,5,111,5227,1553,0,0,0
URS00004D37BE,572,ribovision,453,572,13,10,129,3120,899,0,0,0
URS00004D470F,157,ribovision,2,147,33,12,157,3554,1065,0,0,0
URS00004D4F74,2902,ribovision,2,2902,858,4,2904,2904,860,1,1,1
URS00004D794F,417,ribovision,297,417,9,5,125,3137,912,0,0,0
URS00004DC98B,110,ribovision,1,109,24,39,149,3506,993,0,0,0
URS00004DCA70,106,ribovision,1,105,14,4,109,3506,993,0,0,0
URS00004DDCA0,2206,ribovision,3,2200,439,223,2352,4123,1087,32,0,0
URS00004E6E13,2499,ribovision,1,2498,635,1544,4051,4123,1087,10,1,1
URS00004EB1BE,3219,ribovision,1,3218,819,184,3292,3551,1009,30,1,1
URS00004EC9C8,906,ribovision,35,552,122,959,1374,2925,772,9,0,0
URS00004ECB31,344,ribovision,190,343,61,2461,2614,2922,891,0,0,0
URS00004F01E4,130,ribovision,4,108,18,4,116,3554,1065,0,0,0
URS00004F1391,163,ribovision,4,163,21,2,160,3551,1009,0,0,0
URS00004F29A2,146,ribovision,18,146,18,1,129,2925,772,1,0,0
URS00004F426B,2997,ribovision,3,2993,760,5,2924,2925,772,4,1,1
URS00004F4EAC,90,rfam,15,89,11,27,101,167,42,0,0,0
URS00004FCAB7,479,ribovision,6,470,114,1034,1532,1559,373,0,1,0
URS00004FD05A,2205,ribovision,19,1669,493,56,1800,1800,560,0,1,1
URS00004FF7E3,2102,ribovision,83,2101,526,2012,4051,4123,1087,8,1,1
URS000050400B,153,ribovision,34,148,17,4,118,3506,993,1,0,0
URS00005061EC,540,ribovision,1,152,52,486,638,4123,1087,4,0,0
URS0000509B62,1130,ribovision,2,1129,286,2917,4037,4123,1087,8,1,1
URS000050DC65,221,ribovision,51,219,36,162,326,3551,1009,3,0,0
URS000051170C,601,ribovision,123,600,102,1,480,2925,772,3,0,0
URS000051240B,159,ribovision,4,157,26,2,155,3555,1065,0,0,0
URS00005132F7,243,ribovision,1,98,11,191,286,3555,1065,0,0,0
URS0000519A62,158,ribovision,1,157,26,2,158,3555,1065,0,0,0
URS000052281F,790,ribovision,300,789,190,1277,1804,5227,1553,8,0,0
URS000052FFC3,712,ribovision,332,710,118,435,866,2921,776,4,0,0
URS0000530C72,2912,ribovision,2,2901,883,9,2914,2922,891,12,1,1
URS0000539B15,1494,ribovision,46,1493,289,7,1364,1559,373,2,0,1
URS000053BEAD,2900,ribovision,2,2900,858,4,2904,2904,860,1,1,1
URS0000543725,1130,ribovision,2,1129,293,2917,4037,4123,1087,8,1,1
URS000054A4A4,1489,ribovision,1,1489,489,9,1536,1542,507,0,1,1
URS000054F31F,1393,ribovision,5,1392,302,3,1357,1559,373,3,1,1
URS00005533E1,436,ribovision,300,434,21,1,135,2904,860,0,0,0
URS00005540B0,761,ribovision,417,760,155,1426,1777,5227,1553,8,0,0
URS0000554147,87,ribovision,17,84,3,2,72,4123,1087,0,0,0
URS000055A479,162,ribovision,9,150,22,11,149,5227,1553,0,0,0
URS000055AAD4,163,ribovision,1,134,32,27,159,3551,1009,0,0,0
URS000055D6D4,164,ribovision,3,162,21,1,159,3551,1009,0,0,0
URS000055ECA3,164,ribovision,3,162,21,1,159,3551,1009,0,0,0
URS000055F1A4,358,ribovision,189,353,63,1225,1393,1559,373,1,0,0
URS00005641CE,2671,ribovision,1,2667,689,254,2924,2925,772,3,1,1
URS0000564DC4,166,ribovision,11,164,21,2,151,4123,1087,0,0,0
URS0000567560,799,ribovision,2,633,158,802,1468,1559,373,1,0,0
URS000056FCF2,177,ribovision,1,157,40,1,157,3555,1065,0,0,0
URS0000571C09,2923,ribovision,2,2909,867,9,2909,2922,891,12,1,1
URS0000574CE8,2888,ribovision,2,2886,848,5,2901,2904,860,1,1,1
URS0000578BEC,189,ribovision,2,160,41,1,158,3555,1065,0,0,0
URS000057AA7C,785,ribovision,12,576,135,871,1466,1559,373,2,0,0
URS00005805D0,159,ribovision,2,158,26,1,156,3555,1065,1,0,0
URS0000587344,690,ribovision,300,459,29,2,159,3551,1009,0,0,0
URS0000592FBD,158,ribovision,1,158,26,1,158,3555,1065,0,0,0
URS00005947D5,3260,ribovision,1,3257,916,229,3485,3551,1009,21,1,1
URS00005963C6,2938,ribovision,11,2931,755,13,2921,2925,772,3,1,1
URS0000597468,1130,ribovision,2,1129,286,2917,4037,4123,1087,8,1,1
URS000059B579,148,ribovision,2,148,36,1294,1432,1808,459,0,0,0
URS000059F826,2243,ribovision,3,2237,435,206,2352,4123,1087,32,0,0
URS00005A0AB5,524,ribovision,241,475,66,982,1204,2925,772,0,0,0
URS00005A8187,2147,ribovision,1,2146,448,240,2305,4123,1087,36,0,0
URS00005AD460,2698,ribovision,1,2694,696,228,2924,2925,772,3,1,1
URS00005AE11E,153,ribovision,4,152,24,4,148,3506,993,0,0,0
URS00005AEA77,3160,ribovision,7,3118,871,2,3119,3120,899,26,1,1
URS00005AEBE1,490,ribovision,148,381,101,1221,1454,1559,373,2,0,0
URS00005B0A54,1871,ribovision,1,1871,468,1,1869,1869,470,0,1,1
URS00005B20CE,466,rfam,263,71,7,45,238,277,70,2,0,0
URS00005B3384,953,rfam,619,685,1,73,139,158,12,1,0,0
URS00005B4895,161,ribovision,1,158,21,1,157,3551,1009,0,0,0
URS00005B59A8,229,ribovision,6,179,17,2752,2918,2921,776,0,0,0
URS00005B5EB4,486,ribovision,385,482,30,1,98,2904,860,0,0,0
URS00005B8EC0,2673,ribovision,1,2672,729,212,3031,3551,1009,12,1,1
URS00005B96C4,1745,ribovision,1,1745,458,177,2041,3506,993,23,1,1
URS00005BC24F,1855,ribovision,1,1855,490,178,2041,3506,993,29,1,1
URS00005BCA23,110,ribovision,1,109,24,39,149,3506,993,0,0,0
URS00005BED92,154,ribovision,1,122,21,1,122,4123,1087,0,0,0
URS00005C22EB,99,ribovision,98,1,3,44,140,5227,1553,0,0,0
URS00005C51F7,706,ribovision,174,690,139,785,1338,1559,373,2,0,0
URS00005C6BEB,319,ribovision,206,319,12,1,114,2925,772,0,0,0
URS00005CAA52,332,ribovision,71,239,31,4,168,3506,993,1,0,0
URS00005CBF10,418,ribovision,1,417,98,494,912,4123,1087,0,0,0
URS00005CD5CB,455,ribovision,1,453,108,493,947,4123,1087,0,0,0
URS00005D4B77,1112,ribovision,62,1112,206,37,1020,1559,373,5,0,0
URS00005DA06F,436,ribovision,435,5,36,912,1374,1559,373,0,0,0
URS00005DBAB4,723,ribovision,105,684,160,160,758,3555,1065,10,0,0
URS00005DBF84,870,ribovision,3,869,215,100,935,3555,1065,14,0,0
URS00005E13E3,311,ribovision,2,304,88,1498,1812,3120,899,0,0,0
URS00005E441E,2645,ribovision,13,2642,706,160,2827,3048,847,10,1,1
URS00005E6C52,782,ribovision,19,589,140,863,1467,1559,373,1,0,0
URS00005E6F94,158,ribovision,1,157,26,2,158,3555,1065,0,0,0
URS00005E97E8,80,ribovision,2,69,22,91,158,3555,1065,0,0,0
URS00005E9D36,7232,ribovision,1,1995,514,1,1995,1995,523,0,1,1
URS00005EA946,110,ribovision,1,109,24,39,149,3506,993,0,0,0
URS00005EB96A,725,ribovision,243,725,136,1328,1802,5227,1553,13,0,0
URS00005F2F3B,534,ribovision,400,529,20,2,131,3120,899,0,0,0
URS00005F7575,2129,ribovision,83,2129,526,2012,4079,4123,1087,8,1,1
URS00005FBAC8,192,ribovision,4,162,41,1,160,3555,1065,0,0,0
URS00005FCEDE,109,crw,2,106,11,692,795,948,164,0,0,0
URS0000600CF0,159,ribovision,1,151,26,1,149,3555,1065,0,0,0
URS0000613FA7,131,ribovision,1,128,21,33,159,3551,1009,0,0,0
URS000061474A,323,ribovision,211,321,10,2,112,2925,772,0,0,0
URS00006159E1,1130,ribovision,2,1129,294,2917,4037,4123,1087,8,1,1
URS0000619C3E,622,ribovision,499,622,16,6,129,3120,899,0,0,0
URS000061A348,149,ribovision,1,146,24,4,151,3506,993,0,0,0
URS000061A67E,777,ribovision,382,776,194,1397,1804,5227,1553,8,0,0
URS000061A837,1028,ribovision,248,702,125,984,1350,2925,772,13,0,0
URS000061CA2A,158,ribovision,2,153,22,5,156,5227,1553,0,0,0
URS000061FE32,596,ribovision,13,595,131,227,805,1559,373,3,0,0
URS0000621AFE,451,ribovision,118,269,21,4,151,3506,993,0,0,0
URS00006239DC,119,crw,2,117,32,2,117,120,32,0,1,0
URS0000623BA6,343,rfam,4,242,53,5,248,330,87,0,0,1
URS0000637123,119,crw,2,116,32,2,116,120,32,0,1,0
URS0000638091,163,rfam,2,160,42,2,162,166,46,0,1,1
URS0000638E37,66,rfam,3,65,21,3,65,66,21,0,1,1
URS000063E29B,92,ribovision,2,91,13,67,153,5227,1553,0,0,0
URS0000647000,153,ribovision,3,148,20,4,148,5227,1553,0,0,0
URS0000648B82,109,rfam,3,95,5,3,95,107,8,0,1,0
URS0000648DC9,46,rfam,6,42,12,6,42,46,14,0,1,1
URS000064A8FB,120,crw,1,119,32,1,118,120,32,0,1,0
URS0000653D75,118,crw,17,92,27,17,92,120,35,0,1,0
URS000066C156,116,crw,2,115,35,2,118,120,35,0,1,0
URS00006711D6,120,crw,26,114,30,23,111,120,32,0,1,0
URS0000672892,119,crw,2,118,35,2,118,120,35,0,1,0
URS000067A02C,110,rfam,13,110,5,7,104,104,5,0,1,0
URS000067D3C0,275,rfam,2,274,62,2,274,275,62,0,1,1
URS000067D526,119,crw,3,118,35,3,118,120,35,0,1,0
URS0000681D99,119,crw,3,118,32,3,118,120,32,0,1,0
URS0000682169,299,rfam,2,269,73,2,277,314,117,0,1,1
URS000069DBB5,96,rfam,6,94,3,6,96,98,5,0,1,0
URS00006A6C6B,106,crw,3,97,22,3,97,120,35,0,1,0
URS00006BC499,113,crw,36,102,12,43,109,119,27,0,0,0
URS00006C54F3,45,rfam,2,44,13,2,45,46,14,0,1,1
URS00006C5DAB,341,rfam,11,240,44,12,246,330,87,0,1,1
URS00006C84F9,119,crw,3,117,35,3,117,120,35,0,1,0
URS00006CD8CC,156,ribovision,9,149,18,12,151,3551,1009,0,0,0
URS00006DFF72,118,crw,19,110,25,20,111,120,31,0,1,0
URS00006E85A8,135,rfam,5,133,33,5,139,141,40,0,1,1
URS00006EC287,445,rfam,1,445,39,1,445,445,39,1,1,1
URS00006ECB38,154,ribovision,1,153,26,2,154,3555,1065,0,0,0
URS00006F6B15,343,rfam,2,259,53,2,253,330,87,2,1,1
URS00006FA579,154,ribovision,3,154,17,4,154,5227,1553,0,0,0
URS0000701900,115,crw,43,87,14,48,92,120,35,0,1,0
URS0000704D22,1869,ribovision,1,1869,470,1,1869,1869,470,0,1,1
URS0000708FA3,119,crw,2,117,32,2,117,120,32,0,1,0
URS00007098B9,156,ribovision,1,156,21,4,158,3551,1009,0,0,0
URS000070A1F0,119,crw,2,117,32,2,117,120,32,0,1,0
URS000071101A,152,ribovision,1,152,18,2,154,5227,1553,0,0,0
URS00007121F5,155,ribovision,1,154,26,2,154,3555,1065,0,0,0
URS0000717656,120,crw,2,104,35,2,104,120,35,0,1,0
URS000071B089,76,rfam,2,75,4,2,77,78,4,0,1,0
URS000071DC55,136,rfam,4,134,28,4,131,133,36,0,1,1
URS000071E256,114,rfam,3,108,30,3,107,116,30,0,1,1
URS0000726246,155,ribovision,2,155,20,5,158,3551,1009,0,0,0
URS000072F8FB,165,ribovision,2,147,28,16,160,3551,1009,0,0,0
URS000073028C,1635,ribovision,1,1632,431,1289,2920,2921,776,0,1,1
URS0000730303,1444,ribovision,5,1439,370,1464,2917,2921,776,1,1,1
URS0000730317,761,ribovision,15,600,138,859,1475,1559,373,3,0,0
URS0000732E37,2471,ribovision,2,2471,693,4,2522,3137,912,22,1,1
URS000073358D,2925,ribovision,10,2913,860,1,2904,2904,860,2,1,1
URS0000735C80,2796,ribovision,1,2793,725,128,2920,2921,776,4,1,1
URS0000735CD6,658,ribovision,265,426,24,1,161,3551,1009,0,0,0
URS0000737585,2888,ribovision,2,2886,851,4,2902,2904,860,3,1,1
URS0000738CF9,2835,ribovision,1,2832,728,89,2920,2921,776,4,1,1
URS00007392B2,2438,ribovision,2,2436,725,702,3136,3137,912,10,1,1
URS0000739D13,3136,ribovision,2,3134,910,4,3136,3137,912,21,1,1
URS000073AE5E,2286,ribovision,2,2283,613,639,2920,2921,776,0,1,1
URS000073B716,2411,ribovision,1,2408,641,513,2920,2921,776,0,1,1
URS000073E6AD,761,ribovision,20,599,139,864,1474,1559,373,1,0,0
URS0000740E0B,2795,ribovision,3,1521,777,13,1499,2904,860,5,1,1
URS0000742B2C,764,ribovision,408,763,176,1409,1777,5227,1553,11,0,0
URS0000743BB9,783,ribovision,338,783,175,1340,1790,5227,1553,8,0,0
URS000074406C,2578,ribovision,2,2575,661,347,2920,2921,776,0,1,1
URS0000744AD1,737,ribovision,366,737,185,1391,1760,5227,1553,8,0,0
URS0000746659,669,ribovision,264,425,29,1,161,3551,1009,0,0,0
URS0000746904,2673,ribovision,1,2672,699,212,3031,3551,1009,15,1,1
URS0000746A1D,550,ribovision,1,447,100,463,918,5227,1553,0,0,0
URS0000746D8F,2884,ribovision,2,2877,751,1,2923,2925,772,4,1,1
URS0000749D9A,3090,ribovision,2,3084,887,5,3131,3137,912,21,1,1
URS000074B936,2758,ribovision,1,2755,711,166,2920,2921,776,4,1,1
URS000074C97A,2758,ribovision,1,2755,711,166,2920,2921,776,4,1,1
URS000074CF0A,2926,ribovision,10,2914,860,1,2904,2904,860,2,1,1
URS000074E062,1459,ribovision,2,1454,373,1462,2923,2925,772,0,1,1
URS000074E983,2758,ribovision,1,2755,711,166,2920,2921,776,4,1,1
URS000074F642,727,ribovision,71,726,184,159,798,3555,1065,10,0,0
URS000074FD33,780,ribovision,321,780,180,1314,1790,5227,1553,8,0,0
URS0000753051,652,ribovision,239,399,35,1,160,3551,1009,0,0,0
URS000075405E,2047,ribovision,1,2044,549,877,2920,2921,776,0,1,1
URS00007544BB,3088,ribovision,2,3085,892,5,3134,3137,912,19,1,1
URS0000754AEF,592,ribovision,227,390,28,2,164,3551,1009,0,0,0
URS0000754F8B,748,ribovision,401,747,171,1412,1762,5227,1553,10,0,0
URS000075586E,2903,ribovision,2,2903,858,4,2904,2904,860,1,1,1
URS000075593F,1745,ribovision,1,1742,454,1179,2920,2921,776,0,1,1
URS000075596F,1445,ribovision,5,1440,370,1464,2917,2921,776,1,1,1
URS00007564B0,112,crw,2,111,31,6,114,120,35,0,1,0
URS00007573CC,2672,ribovision,1,2671,729,212,3031,3551,1009,14,1,1
URS0000758B40,2763,ribovision,1,2760,711,161,2920,2921,776,4,1,1
URS000075912C,144,ribovision,1,126,32,2779,2904,2904,860,0,0,0
URS0000763021,2927,ribovision,10,2915,860,1,2904,2904,860,2,1,1
URS0000764268,173,ribovision,2,157,31,2,157,5227,1553,0,0,0
URS000076D10A,581,ribovision,11,577,160,82,658,1495,492,0,0,0
URS000076F1B5,2795,ribovision,2,2748,747,76,2904,3048,847,16,1,1
URS0000770C92,345,ribovision,134,293,30,1,159,3555,1065,1,0,0
URS000077170C,794,ribovision,78,517,116,984,1373,2925,772,16,0,0
URS0000773AFE,794,ribovision,77,517,116,983,1373,2925,772,16,0,0
URS0000778720,1558,ribovision,1,1558,373,1,1559,1559,373,4,1,1
URS0000779FFC,2902,ribovision,2,2902,858,4,2904,2904,860,1,1,1
URS000077A4A5,584,ribovision,206,367,28,1,161,3551,1009,0,0,0
URS000078040F,418,ribovision,25,188,46,2,164,3555,1065,1,0,0
URS000078794E,144,ribovision,4,133,22,5,144,3554,1065,0,0,0
URS000078E3F2,780,ribovision,1,779,145,148,866,1559,373,1,0,0
URS00007928DB,770,ribovision,4,755,142,161,850,1559,373,3,0,0
URS0000794029,748,ribovision,408,747,176,1420,1766,5227,1553,7,0,0
URS00007990A6,2898,ribovision,2,2893,758,4,2923,2925,772,3,1,1
URS00007B11D9,769,ribovision,2,757,143,155,857,1559,373,1,0,0
URS00007B1FC7,725,ribovision,2,400,77,1715,2087,2921,776,2,0,0
URS00007BC9C5,645,ribovision,393,645,135,1424,1682,5227,1553,2,0,0
URS00007C1D2D,648,ribovision,272,433,33,1,161,3551,1009,0,0,0
URS00007C2FE8,597,ribovision,214,375,26,2,162,3551,1009,0,0,0
URS00007C39E2,3057,ribovision,6,3047,877,9,3114,3120,899,11,1,1
URS00007C59F4,1720,ribovision,36,1681,338,18,1523,1559,373,4,1,1
URS00007C7408,596,ribovision,214,376,50,2,163,3551,1009,1,0,0
URS00007C779C,447,ribovision,3,425,121,360,807,1542,507,0,0,0
URS00007CB7B1,755,ribovision,389,755,156,1420,1792,5227,1553,10,0,0
URS00007CD10A,440,rfam,2,293,44,14,304,305,123,2,0,0
URS00007D1B46,1780,ribovision,8,1634,348,169,1687,3555,1065,31,0,0
URS00007D306F,550,ribovision,199,356,33,1,158,3555,1065,0,0,0
URS00007D3799,1685,ribovision,45,1625,341,25,1509,1559,373,8,1,1
URS00007D53A2,162,ribovision,11,161,20,4,153,5227,1553,0,0,0
URS00007D75B1,2466,ribovision,5,2465,637,1,2490,2925,772,3,1,1
URS00007DB356,180,ribovision,2,154,41,5,157,3555,1065,0,0,0
URS00007DDAAA,3090,ribovision,9,3080,889,6,3116,3120,899,13,1,1
URS00007DE400,317,ribovision,180,314,13,2,135,2911,868,0,0,0
URS00007E0715,700,rfam,328,122,10,106,312,370,52,2,0,0
URS00007E1B9D,169,ribovision,2,147,32,2757,2902,2904,860,0,0,0
URS00007E638E,679,ribovision,272,678,117,725,1063,3554,1065,20,0,0
URS00007E7C08,579,ribovision,191,576,109,1290,1671,5227,1553,4,0,0
URS00007EC732,1576,ribovision,6,1575,372,6,1558,1559,373,4,1,1
URS00007F0BB5,602,ribovision,38,601,176,1154,1677,5227,1553,4,0,0
URS00007F14C2,2675,ribovision,1,2675,695,244,2918,2925,772,3,1,1
URS00007F27D0,1596,ribovision,30,1593,365,15,1556,1559,373,5,1,1
URS00007F2C7D,1734,ribovision,1,1734,446,2321,4046,4123,1087,8,1,1
URS00007F3AF6,2823,ribovision,1,2775,758,23,2895,3048,847,12,1,1
URS00007F4B62,1724,ribovision,1,1724,445,2321,4033,4123,1087,4,1,1
URS00007F7257,1720,ribovision,2,1718,438,2332,4040,4123,1087,8,1,1
URS00007FEA4E,2902,ribovision,2,2799,795,12,2897,3048,847,14,1,1
URS00007FEE55,93,ribovision,13,92,23,147,226,3555,1065,0,0,0
URS0000807169,711,ribovision,110,695,150,159,750,3554,1065,9,0,0
URS0000808B95,116,crw,2,115,31,4,117,120,32,0,1,0
URS000080CA57,885,ribovision,14,881,254,1136,1990,5227,1553,4,0,0
URS000080E482,2888,ribovision,4,2886,852,1,2889,2911,868,4,1,1
URS000080EE45,2890,ribovision,3,2888,853,5,2902,2904,860,3,1,1
URS000080FEF2,791,ribovision,371,533,38,1,154,4123,1087,0,0,0
URS0000811570,1800,ribovision,2,1786,519,1357,3132,3137,912,2,1,1
URS00008123C6,761,ribovision,320,760,159,1322,1779,5227,1553,9,0,0
URS0000813655,766,ribovision,340,766,158,1345,1786,5227,1553,10,0,0
URS0000814B57,2894,ribovision,6,2885,879,8,2909,2922,891,12,1,1
URS0000815440,421,ribovision,4,420,119,361,783,1542,507,0,0,0
URS0000818133,3136,ribovision,2,3134,910,4,3136,3137,912,21,1,1
URS00008199C7,175,ribovision,4,150,39,11,154,4123,1087,0,0,0
URS0000819A4C,2905,ribovision,2,2905,858,4,2904,2904,860,1,1,1
URS000081ADC0,158,ribovision,1,157,26,2,158,3555,1065,0,0,0
URS000081B081,540,ribovision,170,327,38,2,159,3555,1065,0,0,0
URS000081B2C7,2818,ribovision,4,2817,848,19,2854,2922,891,12,1,1
URS000081D39C,2818,ribovision,4,2817,850,19,2854,2922,891,12,1,1
URS000081FC5E,782,ribovision,355,782,187,1349,1788,5227,1553,16,0,0
URS0000820396,3072,ribovision,3,3070,875,5,3113,3120,899,11,1,1
URS00008214BB,686,ribovision,4,686,140,262,931,4123,1087,6,0,0
URS0000821802,1657,ribovision,1657,178,20,1427,2904,2904,860,0,0,0
URS0000821D51,2901,ribovision,7,2885,883,8,2907,2922,891,12,1,1
URS0000824C64,480,ribovision,1,89,26,70,158,5227,1553,0,0,0
URS0000826A4F,779,ribovision,376,776,142,1381,1795,5227,1553,10,0,0
URS0000826F96,844,ribovision,103,831,158,45,776,1559,373,1,0,0
URS0000828034,2890,ribovision,3,2887,853,5,2901,2904,860,3,1,1
URS0000828CC3,177,ribovision,3,155,36,10,155,4123,1087,0,0,0
URS0000829368,88,ribovision,2,76,17,2830,2904,2904,860,0,0,0
URS00008297DC,770,ribovision,323,770,142,1350,1789,5227,1553,14,0,0
URS000082C8FC,2900,ribovision,2,2895,764,4,2923,2925,772,3,1,1
URS000082D11C,2818,ribovision,4,2817,850,19,2854,2922,891,12,1,1
URS000082E75F,700,ribovision,4,700,145,262,945,4123,1087,6,0,0
URS000082EB74,739,ribovision,19,738,198,1153,1838,5227,1553,6,0,0
URS0000830538,769,ribovision,372,769,166,1377,1788,5227,1553,8,0,0
URS0000831098,545,ribovision,2,544,103,270,816,1559,373,4,0,0
URS000083124E,2934,ribovision,2,2930,772,4,2924,2925,772,5,1,1
