#                                                                                              best-scoring model                                                          different domain's best-scoring model  
#                                                      --------------------------------------------------------------------------------------------------                  -------------------------------------  
#idx  target          p/f  length  #fm  fam  domain    model       strnd  #ht  tscore  bscore  s/nt   bevalue   tcov   bcov   bfrom     bto  mfrom    mto  scdiff  scd/nt  model       tscore  unexpected_features
#---  -------------  ----  ------  ---  ---  --------  ----------  -----  ---  ------  ------  ----  --------  -----  -----  ------  ------  -----  -----  ------  ------  ----------  ------  -------------------
130   URS00000AE423  PASS     165    1  LSU  Bacteria  KL_LSU_3D   plus     1    71.5    71.5  0.43   3.2e-22  0.933  0.933       6     159      3    153       -       -  -                -  LowScore:(0.43<0.50);
131   URS0000AE0B7C  PASS    2881    1  LSU  Bacteria  SA_LSU_3D   plus     1  1579.5  1579.5  0.55         0  0.994  0.994      14    2876     10   2917       -       -  -                -  -
132   URS000020D236  PASS     245    1  LSU  Bacteria  KL_LSU_3D   plus     1    28.3    28.3  0.12   3.5e-09  0.253  0.253     184     245    157    218       -       -  -                -  LowScore:(0.12<0.50);LowCoverage:(0.253<0.860);
133   URS0000002C92  FAIL     255    0  -    -         -           -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                -  *NoHits;
134   URS00008C5DE3  PASS    2818    1  LSU  Bacteria  BS_LSU_3D   plus     1  1531.6  1531.6  0.54         0  0.995  0.995       2    2806     12   2915       -       -  -                -  -
135   URS0000DD072B  PASS    2924    1  LSU  Bacteria  SA_LSU_3D   plus     1  2981.2  2981.2  1.02         0  0.999  0.999       2    2921      4   2920       -       -  -                -  -
136   URS0000495056  FAIL     245    0  -    -         -           -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                -  *NoHits;
137   URS0000297A05  PASS    2901    1  LSU  Bacteria  EC_LSU_3D   plus     1  2923.9  2923.9  1.01         0  1.000  1.000       2    2901      5   2903       -       -  -                -  -
138   URS0000217F08  PASS    1093    1  LSU  Bacteria  KL_LSU_3D   plus     2   434.4   324.2  0.40     2e-98  0.692  0.541     502    1092    156    754       -       -  -                -  LowScore:(0.40<0.50);LowCoverage:(0.692<0.860);MultipleHits:(2:SI[M:-13(156..168),S:148(354..501)]);
139   URS000050A25A  PASS     634    1  LSU  Bacteria  KL_LSU_3D   plus     1    74.1    74.1  0.12   5.3e-23  0.244  0.244     256     410      3    155       -       -  -                -  LowScore:(0.12<0.50);LowCoverage:(0.244<0.860);
140   URS0000389DBA  PASS     323    1  LSU  Bacteria  SC_LSU_3D   plus     1    65.3    65.3  0.20   2.4e-20  0.467  0.467     167     317      3    151       -       -  -                -  LowScore:(0.20<0.50);LowCoverage:(0.467<0.860);
141   URS000060F035  FAIL     276    0  -    -         -           -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                -  *NoHits;
142   URS0000E0DDDF  PASS    2289    1  LSU  Bacteria  HS_LSU_3D   plus     3   890.8   506.3  0.39  1.3e-153  0.830  0.420     728    1689   1290   2258       -       -  -                -  LowScore:(0.39<0.50);LowCoverage:(0.830<0.860);MultipleHits:(3:NH[M:686(604..1289),S:359(369..727)],NH[M:156(2259..2414),S:31(1690..1720)]);
143   URS00006EE514  PASS     153    1  LSU  Bacteria  KL_LSU_3D   plus     1    85.8    85.8  0.56   1.6e-26  0.974  0.974       3     151      4    153       -       -  -                -  -
144   URS00007029A2  PASS     156    1  LSU  Bacteria  KL_LSU_3D   plus     1    72.6    72.6  0.47   1.5e-22  0.981  0.981       2     154      3    153       -       -  -                -  LowScore:(0.47<0.50);
145   URS00004BE758  PASS     630    1  LSU  Bacteria  KL_LSU_3D   plus     1   115.2   115.2  0.18   2.1e-35  0.252  0.252     451     609      1    158       -       -  -                -  LowScore:(0.18<0.50);LowCoverage:(0.252<0.860);
146   URS000046B139  PASS     163    1  LSU  Bacteria  SC_LSU_3D   plus     1    74.3    74.3  0.46   4.7e-23  0.951  0.951       6     160      3    155       -       -  -                -  LowScore:(0.46<0.50);
147   URS0000580332  PASS     201    1  LSU  Bacteria  KL_LSU_3D   plus     1   114.8   114.8  0.57   2.7e-35  0.781  0.781      45     201      1    157       -       -  -                -  LowCoverage:(0.781<0.860);
148   URS00003010EC  FAIL     246    0  -    -         -           -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                -  *NoHits;
149   URS00001D2CBC  PASS     876    1  LSU  Bacteria  KL_LSU_3D   plus     2   417.2   327.5  0.48   2.1e-99  0.822  0.675     285     875    155    753       -       -  -                -  LowScore:(0.48<0.50);LowCoverage:(0.822<0.860);MultipleHits:(2:SI[M:-5(155..159),S:154(131..284)]);
150   URS000029EB13  PASS     153    1  LSU  Bacteria  KL_LSU_3D   plus     1    84.7    84.7  0.55   3.4e-26  0.993  0.993       1     152      2    153       -       -  -                -  -
151   URS0000ED50F0  PASS    2901    1  LSU  Bacteria  BS_LSU_3D   plus     1  2118.4  2118.4  0.73         0  0.998  0.998       2    2896      4   2923       -       -  -                -  -
152   URS00005E5B9F  FAIL     261    0  -    -         -           -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                -  *NoHits;
153   URS00001CE77C  PASS     511    1  LSU  Bacteria  KL_LSU_3D   plus     1   113.3   113.3  0.22   7.8e-35  0.329  0.329     189     356      1    170       -       -  -                -  LowScore:(0.22<0.50);LowCoverage:(0.329<0.860);
154   URS0000561A45  PASS    2925    1  LSU  Bacteria  EC_LSU_3D   plus     1  2890.0  2890.0  0.99         0  0.993  0.993      10    2913      1   2904       -       -  -                -  -
155   URS000076FAFD  PASS     596    1  LSU  Bacteria  SC_LSU_3D   plus     1    78.3    78.3  0.13     3e-24  0.260  0.260     226     380      3    155       -       -  -                -  LowScore:(0.13<0.50);LowCoverage:(0.260<0.860);
156   URS000099FBC6  PASS    2436    1  LSU  Bacteria  SC_LSU_3D   plus     1  1829.9  1829.9  0.75         0  0.999  0.999       2    2434    163   2616       -       -  -                -  -
157   URS00006F66D9  PASS     156    1  LSU  Bacteria  KL_LSU_3D   plus     1    68.0    68.0  0.44   3.7e-21  0.981  0.981       3     155      4    154       -       -  -                -  LowScore:(0.44<0.50);
158   URS0000652EE7  PASS     156    1  LSU  Bacteria  KL_LSU_3D   plus     1    77.2    77.2  0.49   5.9e-24  0.987  0.987       2     155      3    154       -       -  -                -  LowScore:(0.49<0.50);
159   URS0000DD8BA2  PASS    2916    1  LSU  Bacteria  SA_LSU_3D   plus     1  2951.2  2951.2  1.01         0  0.999  0.999       2    2913      4   2920       -       -  -                -  -
160   URS000043801A  PASS     628    1  LSU  Bacteria  KL_LSU_3D   plus     1    80.0    80.0  0.13     9e-25  0.253  0.253     256     414      3    159       -       -  -                -  LowScore:(0.13<0.50);LowCoverage:(0.253<0.860);
161   URS0000B83C6E  PASS    2932    1  LSU  Bacteria  BS_LSU_3D   plus     1  2226.3  2226.3  0.76         0  0.997  0.997       5    2926      2   2923       -       -  -                -  -
162   URS000072CDE0  PASS     147    1  LSU  Bacteria  HS_LSU_3D   plus     1    77.2    77.2  0.53   2.7e-24  0.993  0.993       1     146     10    153       -       -  -                -  -
163   URS000029A396  PASS     163    1  LSU  Bacteria  KL_LSU_3D   plus     1    77.6    77.6  0.48   4.7e-24  0.951  0.951       6     160      3    155       -       -  -                -  LowScore:(0.48<0.50);
164   URS0000D2306A  PASS    2930    1  LSU  Bacteria  EC_LSU_3D   plus     1  2799.8  2799.8  0.96         0  0.991  0.991      10    2913      1   2904       -       -  -                -  -
165   URS00005752B9  PASS    1559    1  LSU  Bacteria  mHS_LSU_3D  plus     1  1517.2  1517.2  0.97         0  1.000  1.000       1    1559      1   1559       -       -  -                -  -
166   URS000064E249  PASS     154    1  LSU  Bacteria  KL_LSU_3D   plus     1   109.0   109.0  0.71   1.6e-33  0.994  0.994       1     153      2    154       -       -  -                -  -
167   URS0000AB5E89  PASS    2893    1  LSU  Bacteria  EC_LSU_3D   plus     1  2214.2  2214.2  0.77         0  0.999  0.999       3    2892      2   2902       -       -  -                -  -
168   URS0000E33979  PASS    2898    1  LSU  Bacteria  EC_LSU_3D   plus     1  1964.1  1964.1  0.68         0  0.990  0.990      10    2879      3   2902       -       -  -                -  -
169   URS000004795C  PASS     658    1  LSU  Bacteria  SC_LSU_3D   plus     1    80.0    80.0  0.12   8.9e-25  0.243  0.243     209     368      3    160       -       -  -                -  LowScore:(0.12<0.50);LowCoverage:(0.243<0.860);
170   URS00004BE5EC  PASS     164    1  LSU  Bacteria  KL_LSU_3D   plus     1    78.6    78.6  0.48   2.4e-24  0.945  0.945       9     163      3    155       -       -  -                -  LowScore:(0.48<0.50);
171   URS0000515426  PASS     484    1  LSU  Bacteria  KL_LSU_3D   plus     2   131.6   118.0  0.27   3.1e-36  0.463  0.355     136     307      1    173       -       -  -                -  LowScore:(0.27<0.50);LowCoverage:(0.463<0.860);MultipleHits:(2:SI[M:-19(155..173),S:125(308..432)]);
172   URS000052C942  PASS     643    1  LSU  Bacteria  KL_LSU_3D   plus     1    75.4    75.4  0.12   2.1e-23  0.249  0.249     257     416      3    160       -       -  -                -  LowScore:(0.12<0.50);LowCoverage:(0.249<0.860);
173   URS00005589BA  PASS     497    1  LSU  Bacteria  EC_LSU_3D   plus     1    41.1    41.1  0.08   6.7e-13  0.177  0.177     410     497      1     88       -       -  -                -  LowScore:(0.08<0.50);LowCoverage:(0.177<0.860);
174   URS00005C5B53  PASS     527    1  LSU  Bacteria  KL_LSU_3D   plus     1   122.8   122.8  0.23   1.1e-37  0.347  0.347     179     361      1    183       -       -  -                -  LowScore:(0.23<0.50);LowCoverage:(0.347<0.860);
175   URS00005182A9  PASS     254    1  LSU  Bacteria  KL_LSU_3D   plus     1    30.0    30.0  0.12     1e-09  0.256  0.256     190     254    154    218       -       -  -                -  LowScore:(0.12<0.50);LowCoverage:(0.256<0.860);
176   URS00004C7103  PASS     161    1  LSU  Bacteria  KL_LSU_3D   plus     1   122.4   122.4  0.76   1.4e-37  0.975  0.975       1     157      2    158       -       -  -                -  -
177   URS0000081C14  FAIL     235    0  -    -         -           -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                -  *NoHits;
178   URS00004FBEF5  FAIL     248    0  -    -         -           -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                -  *NoHits;
179   URS00004CFF3D  PASS     558    1  LSU  Bacteria  KL_LSU_3D   plus     1   113.1   113.1  0.20   8.9e-35  0.299  0.299     206     372      1    169       -       -  -                -  LowScore:(0.20<0.50);LowCoverage:(0.299<0.860);
180   URS0000D8D1E0  PASS    3383    1  LSU  Bacteria  SC_LSU_3D   plus     1  3197.2  3197.2  0.95         0  1.000  1.000       2    3383    163   3554       -       -  -                -  -
181   URS00002B744D  FAIL     231    0  -    -         -           -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                -  *NoHits;
182   URS00002C2C77  PASS     251    1  LSU  Bacteria  SC_LSU_3D   plus     1    21.7    21.7  0.09   3.3e-07  0.251  0.251     189     251    157    219       -       -  -                -  LowScore:(0.09<0.50);LowCoverage:(0.251<0.860);
183   URS0000244B20  FAIL     236    0  -    -         -           -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                -  *NoHits;
184   URS0000055430  PASS    2189    1  LSU  Bacteria  DM_LSU_3D   plus     2   847.6   663.8  0.39  7.2e-201  0.810  0.630     809    2188    896   2321       -       -  -                -  LowScore:(0.39<0.50);LowCoverage:(0.810<0.860);MultipleHits:(2:NH[M:263(633..895),S:414(395..808)]);
185   URS00006A9B69  PASS      99    1  LSU  Bacteria  KL_LSU_3D   plus     1    60.3    60.3  0.61   7.7e-19  0.990  0.990       1      98      2     99       -       -  -                -  -
186   URS000029A1B7  PASS     710    1  LSU  Bacteria  KL_LSU_3D   plus     2   285.3   175.6  0.40   1.3e-53  0.669  0.441     395     707    158    485       -       -  -                -  LowScore:(0.40<0.50);LowCoverage:(0.669<0.860);MultipleHits:(2:SI[M:-13(158..170),S:144(251..394)]);
187   URS0000EC54C0  PASS    2896    1  LSU  Bacteria  BS_LSU_3D   plus     1  1582.0  1582.0  0.55         0  0.997  0.997       3    2889      6   2916       -       -  -                -  -
188   URS0000321E54  PASS    3311    1  LSU  Bacteria  SC_LSU_3D   plus     1  1957.8  1957.8  0.59         0  1.000  1.000       2    3311    198   3511       -       -  -                -  -
189   URS00001A81CB  PASS     512    1  LSU  Bacteria  KL_LSU_3D   plus     1   118.7   118.7  0.23   1.9e-36  0.316  0.316     132     293      2    163       -       -  -                -  LowScore:(0.23<0.50);LowCoverage:(0.316<0.860);
190   URS00007E8323  PASS    1375    1  LSU  Bacteria  mHS_LSU_3D  plus     1   472.5   472.5  0.34  9.1e-143  0.969  0.969      42    1373     45   1359       -       -  -                -  LowScore:(0.34<0.50);
191   URS00005FF0AC  FAIL     191    0  -    -         -           -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                -  *NoHits;
192   URS000073EDE4  PASS     545    1  LSU  Bacteria  SC_LSU_3D   plus     2   134.2   115.5  0.25   1.7e-35  0.400  0.310     164     332      1    171       -       -  -                -  LowScore:(0.25<0.50);LowCoverage:(0.400<0.860);MultipleHits:(2:SI[M:-11(161..171),S:163(333..495)]);
193   URS000071B540  PASS     154    1  LSU  Bacteria  KL_LSU_3D   plus     1   116.0   116.0  0.75   1.3e-35  0.994  0.994       1     153      2    154       -       -  -                -  -
194   URS0000244756  FAIL     260    0  -    -         -           -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                -  *NoHits;
195   URS00006CBEB1  PASS     183    1  LSU  Bacteria  KL_LSU_3D   plus     1    64.1    64.1  0.35   5.5e-20  0.989  0.989       2     182      3    154       -       -  -                -  LowScore:(0.35<0.50);
196   URS00006CA5F7  PASS     162    1  LSU  Bacteria  KL_LSU_3D   plus     1    28.8    28.8  0.18   2.4e-09  0.784  0.784       2     128      3    117       -       -  -                -  LowScore:(0.18<0.50);LowCoverage:(0.784<0.860);
197   URS000019ADE2  FAIL     250    0  -    -         -           -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                -  *NoHits;
198   URS00004A488B  PASS     581    1  LSU  Bacteria  KL_LSU_3D   plus     1   109.7   109.7  0.19     1e-33  0.286  0.286     218     383      2    169       -       -  -                -  LowScore:(0.19<0.50);LowCoverage:(0.286<0.860);
199   URS000012249F  PASS    2903    1  LSU  Bacteria  EC_LSU_3D   plus     1  2922.6  2922.6  1.01         0  1.000  1.000       2    2903      4   2904       -       -  -                -  -
200   URS0000C4F268  PASS    2905    1  LSU  Bacteria  BS_LSU_3D   plus     1  2181.7  2181.7  0.75         0  0.999  0.999       1    2901      1   2924       -       -  -                -  -
201   URS0000CA71D1  PASS    2110    1  LSU  Bacteria  EC_LSU_3D   plus     1  1571.2  1571.2  0.74         0  0.996  0.996       9    2110      2   2116       -       -  -                -  -
202   URS0000165D48  PASS    2899    1  LSU  Bacteria  BS_LSU_3D   plus     1  2142.1  2142.1  0.74         0  0.998  0.998       2    2895      5   2923       -       -  -                -  -
203   URS0000529F24  FAIL     256    0  -    -         -           -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                -  *NoHits;
204   URS00001026F5  PASS    2902    1  LSU  Bacteria  EC_LSU_3D   plus     1  2926.1  2926.1  1.01         0  1.000  1.000       2    2902      4   2904       -       -  -                -  -
205   URS0000815ED8  PASS     361    1  LSU  Bacteria  KL_LSU_3D   plus     1   114.7   114.7  0.32   3.1e-35  0.449  0.449      94     255      2    162       -       -  -                -  LowScore:(0.32<0.50);LowCoverage:(0.449<0.860);
206   URS00003A975E  PASS     164    1  LSU  Bacteria  KL_LSU_3D   plus     1    77.9    77.9  0.48   3.8e-24  0.945  0.945       7     161      3    155       -       -  -                -  LowScore:(0.48<0.50);
207   URS0000E20802  PASS     343    1  LSU  Bacteria  mHS_LSU_3D  plus     1    45.1    45.1  0.13   1.4e-13  0.513  0.513     166     341   1216   1390       -       -  -                -  LowScore:(0.13<0.50);LowCoverage:(0.513<0.860);
208   URS000023A689  PASS    1559    1  LSU  Bacteria  mHS_LSU_3D  plus     1   808.9   808.9  0.52    2e-244  0.997  0.997       5    1558      6   1557       -       -  -                -  -
209   URS00000D7872  PASS     525    1  LSU  Bacteria  KL_LSU_3D   plus     2   132.5   112.7  0.25   1.2e-34  0.408  0.305     160     319      1    160       -       -  -                -  LowScore:(0.25<0.50);LowCoverage:(0.408<0.860);MultipleHits:(2:SI[M:-5(156..160),S:151(320..470)]);
210   URS00002A83A8  PASS     154    1  LSU  Bacteria  KL_LSU_3D   plus     1   117.5   117.5  0.76   4.3e-36  0.994  0.994       1     153      2    154       -       -  -                -  -
211   URS00000FD5D1  FAIL     274    0  -    -         -           -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                -  *NoHits;
212   URS0000D16A2E  PASS     463    1  LSU  Bacteria  KL_LSU_3D   plus     1    72.1    72.1  0.16   2.1e-22  0.346  0.346      65     224      3    160       -       -  -                -  LowScore:(0.16<0.50);LowCoverage:(0.346<0.860);
213   URS000055AF9C  FAIL     230    0  -    -         -           -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                -  *NoHits;
214   URS00001DC488  PASS    3184    1  LSU  Bacteria  SC_LSU_3D   plus     1  1925.4  1925.4  0.60         0  0.978  0.978       5    3119    245   3345       -       -  -                -  -
215   URS00000831E3  PASS    1173    1  LSU  Bacteria  KL_LSU_3D   plus     2   462.8   351.3  0.39  1.4e-106  0.648  0.514     567    1169    158    758       -       -  -                -  LowScore:(0.39<0.50);LowCoverage:(0.648<0.860);MultipleHits:(2:SI[M:-1(158..158),S:201(366..566)]);
216   URS000046A69A  PASS     443    1  LSU  Bacteria  MS_LSU_3D   plus     1    73.8    73.8  0.17   9.1e-23  0.289  0.289     316     443      2    129       -       -  -                -  LowScore:(0.17<0.50);LowCoverage:(0.289<0.860);
217   URS000021A66B  PASS     673    1  LSU  Bacteria  KL_LSU_3D   plus     1   114.7   114.7  0.17     3e-35  0.239  0.239     324     484      2    162       -       -  -                -  LowScore:(0.17<0.50);LowCoverage:(0.239<0.860);
218   URS00006398A3  PASS     156    1  LSU  Bacteria  KL_LSU_3D   plus     1    73.6    73.6  0.47   7.5e-23  0.987  0.987       2     155      3    154       -       -  -                -  LowScore:(0.47<0.50);
219   URS000080E401  PASS     974    1  LSU  Bacteria  HS_LSU_3D   plus     1    72.1    72.1  0.07   9.3e-23  0.461  0.461     525     973   1314   1694       -       -  -                -  LowScore:(0.07<0.50);LowCoverage:(0.461<0.860);
220   URS000033B679  PASS     153    1  LSU  Bacteria  KL_LSU_3D   plus     1   109.2   109.2  0.71   1.4e-33  0.993  0.993       1     152      2    153       -       -  -                -  -
221   URS000074C968  PASS     353    1  LSU  Bacteria  KL_LSU_3D   plus     1    87.8    87.8  0.25     4e-27  0.365  0.365       2     130     34    162       -       -  -                -  LowScore:(0.25<0.50);LowCoverage:(0.365<0.860);
222   URS000000EB5E  PASS     470    1  LSU  Bacteria  SC_LSU_3D   plus     1    76.9    76.9  0.16   7.5e-24  0.334  0.334     157     313      3    157       -       -  -                -  LowScore:(0.16<0.50);LowCoverage:(0.334<0.860);
223   URS0000847D19  PASS     166    1  LSU  Bacteria  KL_LSU_3D   plus     1    75.2    75.2  0.45   2.5e-23  0.934  0.934       7     161      3    155       -       -  -                -  LowScore:(0.45<0.50);
224   URS0000573A28  FAIL     239    0  -    -         -           -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                -  *NoHits;
225   URS0000ABAF2A  PASS    3389    1  LSU  Bacteria  SC_LSU_3D   plus     1  2008.7  2008.7  0.59         0  0.999  0.999       2    3388    163   3553       -       -  -                -  -
226   URS0000E4116F  PASS     660    1  LSU  Bacteria  HS_LSU_3D   plus     1    58.7    58.7  0.09     1e-18  0.823  0.823     115     657   1147   1683       -       -  -                -  LowScore:(0.09<0.50);LowCoverage:(0.823<0.860);
227   URS000013E8B9  FAIL     186    0  -    -         -           -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                -  *NoHits;
228   URS0000122F80  PASS     157    1  LSU  Bacteria  KL_LSU_3D   plus     1    91.7    91.7  0.58   2.6e-28  0.955  0.955       6     155      3    156       -       -  -                -  -
229   URS00003093CB  PASS     158    1  LSU  Bacteria  KL_LSU_3D   plus     1   116.1   116.1  0.73   1.1e-35  0.987  0.987       1     156      1    156       -       -  -                -  -
230   URS000097F9DE  PASS     240    1  LSU  Bacteria  mHS_LSU_3D  plus     1    75.4    75.4  0.31   9.5e-23  0.812  0.812      45     239    790    986       -       -  -                -  LowScore:(0.31<0.50);LowCoverage:(0.812<0.860);
231   URS00001BFE57  PASS     516    1  LSU  Bacteria  mHS_LSU_3D  plus     1   104.9   104.9  0.20   1.1e-31  0.948  0.948      27     515    870   1390       -       -  -                -  LowScore:(0.20<0.50);
232   URS0000322684  PASS     926    1  LSU  Bacteria  KL_LSU_3D   plus     2   142.0   121.2  0.15   3.3e-37  0.255  0.171     336     493      1    158       -       -  -                -  LowScore:(0.15<0.50);LowCoverage:(0.255<0.860);MultipleHits:(2:SI[M:-2(157..158),S:160(494..653)]);
233   URS0000ABBBB6  PASS    2727    1  LSU  Bacteria  EC_LSU_3D   plus     1  2769.3  2769.3  1.02         0  1.000  1.000       1    2726    160   2885       -       -  -                -  -
234   URS00005B05C4  FAIL     235    0  -    -         -           -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                -  *NoHits;
235   URS00006E623E  PASS     156    1  LSU  Bacteria  KL_LSU_3D   plus     1    79.5    79.5  0.51   1.3e-24  0.987  0.987       2     155      3    154       -       -  -                -  -
236   URS00006191E0  FAIL     247    0  -    -         -           -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                -  *NoHits;
237   URS0000BA8BB6  PASS     165    1  LSU  Bacteria  KL_LSU_3D   plus     1    74.9    74.9  0.45   2.9e-23  0.939  0.939       7     161      3    155       -       -  -                -  LowScore:(0.45<0.50);
238   URS0000291695  FAIL     246    0  -    -         -           -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                -  *NoHits;
239   URS00004BA259  FAIL     229    0  -    -         -           -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                -  *NoHits;
240   URS0000183A90  PASS     164    1  LSU  Bacteria  KL_LSU_3D   plus     1    77.0    77.0  0.47   7.2e-24  0.951  0.951       7     162      3    156       -       -  -                -  LowScore:(0.47<0.50);
241   URS00001A353B  PASS    1359    1  LSU  Bacteria  mHS_LSU_3D  plus     2   276.0   254.3  0.20   8.4e-77  0.859  0.480     656    1307    787   1467       -       -  -                -  LowScore:(0.20<0.50);LowCoverage:(0.859<0.860);MultipleHits:(2:NH[M:178(609..786),S:99(557..655)]);
242   URS0000225B1A  PASS     184    1  LSU  Bacteria  KL_LSU_3D   plus     1   109.3   109.3  0.59   1.2e-33  0.837  0.837       2     155      5    159       -       -  -                -  LowCoverage:(0.837<0.860);
243   URS00006CE929  PASS      97    1  LSU  Bacteria  KL_LSU_3D   plus     1    48.4    48.4  0.50   2.9e-15  0.979  0.979       1      95     59    153       -       -  -                -  LowScore:(0.50<0.50);
244   URS0000B854F5  PASS     120    1  LSU  Bacteria  EC_LSU_3D   plus     1    58.7    58.7  0.49   3.4e-18  0.833  0.833       3     102   2805   2904       -       -  -                -  LowScore:(0.49<0.50);LowCoverage:(0.833<0.860);
245   URS0000EC3F48  PASS    2896    1  LSU  Bacteria  BS_LSU_3D   plus     1  2011.6  2011.6  0.69         0  0.998  0.998       3    2892      5   2924       -       -  -                -  -
246   URS0000134621  PASS     494    1  LSU  Bacteria  KL_LSU_3D   plus     2   137.9   123.7  0.28     6e-38  0.425  0.322     139     297      1    159       -       -  -                -  LowScore:(0.28<0.50);LowCoverage:(0.425<0.860);MultipleHits:(2:SI[M:-4(156..159),S:144(298..441)]);
247   URS000057860B  PASS    1572    1  LSU  Bacteria  mHS_LSU_3D  plus     1   841.3   841.3  0.54  3.3e-254  0.998  0.998       2    1570      2   1558       -       -  -                -  -
248   URS0000C4C0F1  PASS    3091    1  LSU  Bacteria  EC_LSU_3D   plus     2  2639.9  2155.2  0.85         0  0.972  0.797     630    3091    526   2904       -       -  -                -  MultipleHits:(2:SI[M:-16(526..541),S:88(542..629)]);
249   URS00005C636A  FAIL     185    0  -    -         -           -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                -  *NoHits;
250   URS0000214716  PASS     292    1  LSU  Bacteria  KL_LSU_3D   plus     1    30.5    30.5  0.10   7.6e-10  0.459  0.459     159     292     83    218       -       -  -                -  LowScore:(0.10<0.50);LowCoverage:(0.459<0.860);
251   URS00003B6071  FAIL     246    0  -    -         -           -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                -  *NoHits;
252   URS0000768DCF  PASS     456    1  LSU  Bacteria  SC_LSU_3D   plus     1   125.4   125.4  0.28   1.8e-38  0.401  0.401     137     319      1    184       -       -  -                -  LowScore:(0.28<0.50);LowCoverage:(0.401<0.860);
253   URS0000EE0C05  PASS    3088    1  LSU  Bacteria  MS_LSU_3D   plus     1  1817.8  1817.8  0.59         0  0.993  0.993      11    3077     10   3114       -       -  -                -  -
254   URS00002474EA  PASS     602    1  LSU  Bacteria  KL_LSU_3D   plus     1    81.0    81.0  0.13   4.2e-25  0.271  0.271     233     395      3    162       -       -  -                -  LowScore:(0.13<0.50);LowCoverage:(0.271<0.860);
255   URS0000BF9DF4  PASS    3041    1  LSU  Bacteria  MS_LSU_3D   plus     2  2071.1  1069.7  0.68         0  0.992  0.492    1536    3031   1622   3115       -       -  -                -  MultipleHits:(2:MD[M:87(1535..1621),S:7(1529..1535)]);
256   URS0000039EF6  PASS     157    1  LSU  Bacteria  KL_LSU_3D   plus     1   120.8   120.8  0.77   4.3e-37  1.000  1.000       1     157      1    157       -       -  -                -  -
257   URS0000449C3D  PASS     160    1  LSU  Bacteria  KL_LSU_3D   plus     1    62.0    62.0  0.39   2.4e-19  0.969  0.969       2     156      2    154       -       -  -                -  LowScore:(0.39<0.50);
258   URS0000DCC797  PASS    2921    1  LSU  Bacteria  SA_LSU_3D   plus     1  2981.9  2981.9  1.02         0  0.999  0.999       2    2918      4   2920       -       -  -                -  -
259   URS000061F7DA  PASS     639    1  LSU  Bacteria  KL_LSU_3D   plus     1    78.0    78.0  0.12   3.4e-24  0.247  0.247     243     400      3    158       -       -  -                -  LowScore:(0.12<0.50);LowCoverage:(0.247<0.860);
260   URS0000986963  PASS    1725    1  LSU  Bacteria  EC_LSU_3D   plus     1  1754.0  1754.0  1.02         0  1.000  1.000       1    1725      1   1724       -       -  -                -  -
261   URS00002485A9  FAIL     247    0  -    -         -           -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                -  *NoHits;
262   URS0000755391  PASS     164    1  LSU  Bacteria  KL_LSU_3D   plus     1    76.5    76.5  0.47     1e-23  0.945  0.945       7     161      3    155       -       -  -                -  LowScore:(0.47<0.50);
263   URS000033F658  PASS    1669    1  LSU  Bacteria  mHS_LSU_3D  plus     1   620.0   620.0  0.37  2.4e-187  0.951  0.951      46    1633     25   1530       -       -  -                -  LowScore:(0.37<0.50);
264   URS00006ECA7A  PASS     156    1  LSU  Bacteria  KL_LSU_3D   plus     1    72.7    72.7  0.47   1.4e-22  0.987  0.987       2     155      3    154       -       -  -                -  LowScore:(0.47<0.50);
265   URS00004EE934  PASS     514    1  LSU  Bacteria  KL_LSU_3D   plus     1    29.9    29.9  0.06   1.1e-09  0.235  0.235     167     287      3    116       -       -  -                -  LowScore:(0.06<0.50);LowCoverage:(0.235<0.860);
266   URS0000DEEEBE  PASS    2814    1  LSU  Bacteria  cSO_23S_3D  plus     1  2764.4  2764.4  0.98         0  1.000  1.000       2    2814      3   2809       -       -  -                -  -
