########################################
# Program: tcode
# Rundate: Wed 21 Jan 2026 16:40:58
# Commandline: tcode
#    -sequence XIST.fasta
#    -window 200
#    -outfile XIST_tcode.out
#    -plot
#    -graph png
# Report_format: table
# Report_file: XIST_tcode.out
########################################

#=======================================
#
# Sequence: URS000025784F     from: 1   to: 37027
# HitCount: 12276
#
# Fickett TESTCODE statistic
#
#=======================================

  Start     End  Strand   Score Estimation
   8497    8696       +   0.629 Non-coding
   8500    8699       +   0.580 Non-coding
   8503    8702       +   0.660 Non-coding
   8506    8705       +   0.654 Non-coding
   8509    8708       +   0.621 Non-coding
   8512    8711       +   0.654 Non-coding
   8515    8714       +   0.508 Non-coding
   8518    8717       +   0.496 Non-coding
   8521    8720       +   0.641 Non-coding
   8524    8723       +   0.542 Non-coding
   8527    8726       +   0.542 Non-coding
   8530    8729       +   0.474 Non-coding
   8533    8732       +   0.405 Non-coding
   8536    8735       +   0.508 Non-coding
   8539    8738       +   0.542 Non-coding
   8542    8741       +   0.553 Non-coding
   8545    8744       +   0.578 Non-coding
   8548    8747       +   0.547 Non-coding
   8551    8750       +   0.525 Non-coding
   8554    8753       +   0.512 Non-coding
   8557    8756       +   0.506 Non-coding
   8560    8759       +   0.468 Non-coding
   8563    8762       +   0.468 Non-coding
   8566    8765       +   0.504 Non-coding
   8569    8768       +   0.616 Non-coding
   8572    8771       +   0.515 Non-coding
   8575    8774       +   0.504 Non-coding
   8578    8777       +   0.593 Non-coding
   8581    8780       +   0.578 Non-coding
   8584    8783       +   0.586 Non-coding
   8587    8786       +   0.622 Non-coding
   8590    8789       +   0.539 Non-coding
   8593    8792       +   0.539 Non-coding
   8596    8795       +   0.578 Non-coding
   8599    8798       +   0.521 Non-coding
   8602    8801       +   0.507 Non-coding
   8605    8804       +   0.488 Non-coding
   8608    8807       +   0.627 Non-coding
   8611    8810       +   0.479 Non-coding
   8614    8813       +   0.505 Non-coding
   8617    8816       +   0.500 Non-coding
   8620    8819       +   0.470 Non-coding
   8623    8822       +   0.470 Non-coding
   8626    8825       +   0.507 Non-coding
   8629    8828       +   0.586 Non-coding
   8632    8831       +   0.638 Non-coding
   8635    8834       +   0.695 Non-coding
   8638    8837       +   0.732 Non-coding
   8641    8840       +   0.729 Non-coding
   8644    8843       +   0.607 Non-coding
   8647    8846       +   0.607 Non-coding
   8650    8849       +   0.641 Non-coding
   8653    8852       +   0.602 Non-coding
   8656    8855       +   0.641 Non-coding
   8659    8858       +   0.620 Non-coding
   8662    8861       +   0.680 Non-coding
   8665    8864       +   0.592 Non-coding
   8668    8867       +   0.632 Non-coding
   8671    8870       +   0.746 No opinion
   8674    8873       +   0.694 Non-coding
   8677    8876       +   0.587 Non-coding
   8680    8879       +   0.485 Non-coding
   8683    8882       +   0.587 Non-coding
   8686    8885       +   0.574 Non-coding
   8689    8888       +   0.521 Non-coding
   8692    8891       +   0.555 Non-coding
   8695    8894       +   0.614 Non-coding
   8698    8897       +   0.470 Non-coding
   8701    8900       +   0.475 Non-coding
   8704    8903       +   0.408 Non-coding
   8707    8906       +   0.437 Non-coding
   8710    8909       +   0.431 Non-coding
   8713    8912       +   0.438 Non-coding
   8716    8915       +   0.468 Non-coding
   8719    8918       +   0.529 Non-coding
   8722    8921       +   0.544 Non-coding
   8725    8924       +   0.545 Non-coding
   8728    8927       +   0.730 Non-coding
   8731    8930       +   0.566 Non-coding
   8734    8933       +   0.694 Non-coding
   8737    8936       +   0.728 Non-coding
   8740    8939       +   0.759 No opinion
   8743    8942       +   0.616 Non-coding
   8746    8945       +   0.571 Non-coding
   8749    8948       +   0.493 Non-coding
   8752    8951       +   0.485 Non-coding
   8755    8954       +   0.464 Non-coding
   8758    8957       +   0.576 Non-coding
   8761    8960       +   0.464 Non-coding
   8764    8963       +   0.464 Non-coding
   8767    8966       +   0.571 Non-coding
   8770    8969       +   0.439 Non-coding
   8773    8972       +   0.446 Non-coding
   8776    8975       +   0.489 Non-coding
   8779    8978       +   0.502 Non-coding
   8782    8981       +   0.502 Non-coding
   8785    8984       +   0.540 Non-coding
   8788    8987       +   0.459 Non-coding
   8791    8990       +   0.474 Non-coding
   8794    8993       +   0.713 Non-coding
   8797    8996       +   0.680 Non-coding
   8800    8999       +   0.667 Non-coding
   8803    9002       +   0.694 Non-coding
   8806    9005       +   0.770 No opinion
   8809    9008       +   0.715 Non-coding
   8812    9011       +   0.715 Non-coding
   8815    9014       +   0.803 No opinion
   8818    9017       +   0.676 Non-coding
   8821    9020       +   0.710 Non-coding
   8824    9023       +   0.841 No opinion
   8827    9026       +   0.841 No opinion
   8830    9029       +   0.753 No opinion
   8833    9032       +   0.711 Non-coding
   8836    9035       +   0.696 Non-coding
   8839    9038       +   0.731 Non-coding
   8842    9041       +   0.566 Non-coding
   8845    9044       +   0.531 Non-coding
   8848    9047       +   0.605 Non-coding
   8851    9050       +   0.593 Non-coding
   8854    9053       +   0.810 No opinion
   8857    9056       +   0.705 Non-coding
   8860    9059       +   0.598 Non-coding
   8863    9062       +   0.650 Non-coding
   8866    9065       +   0.767 No opinion
   8869    9068       +   0.705 Non-coding
   8872    9071       +   0.685 Non-coding
   8875    9074       +   0.723 Non-coding
   8878    9077       +   0.660 Non-coding
   8881    9080       +   0.780 No opinion
   8884    9083       +   0.773 No opinion
   8887    9086       +   0.661 Non-coding
   8890    9089       +   0.666 Non-coding
   8893    9092       +   0.666 Non-coding
   8896    9095       +   0.654 Non-coding
   8899    9098       +   0.654 Non-coding
   8902    9101       +   0.577 Non-coding
   8905    9104       +   0.567 Non-coding
   8908    9107       +   0.539 Non-coding
   8911    9110       +   0.573 Non-coding
   8914    9113       +   0.661 Non-coding
   8917    9116       +   0.665 Non-coding
   8920    9119       +   0.648 Non-coding
   8923    9122       +   0.558 Non-coding
   8926    9125       +   0.576 Non-coding
   8929    9128       +   0.638 Non-coding
   8932    9131       +   0.632 Non-coding
   8935    9134       +   0.750 No opinion
   8938    9137       +   0.716 Non-coding
   8941    9140       +   0.637 Non-coding
   8944    9143       +   0.661 Non-coding
   8947    9146       +   0.656 Non-coding
   8950    9149       +   0.610 Non-coding
   8953    9152       +   0.648 Non-coding
   8956    9155       +   0.580 Non-coding
   8959    9158       +   0.580 Non-coding
   8962    9161       +   0.585 Non-coding
   8965    9164       +   0.580 Non-coding
   8968    9167       +   0.658 Non-coding
   8971    9170       +   0.622 Non-coding
   8974    9173       +   0.652 Non-coding
   8977    9176       +   0.605 Non-coding
   8980    9179       +   0.717 Non-coding
   8983    9182       +   0.716 Non-coding
   8986    9185       +   0.716 Non-coding
   8989    9188       +   0.758 No opinion
   8992    9191       +   0.794 No opinion
   8995    9194       +   0.802 No opinion
   8998    9197       +   0.689 Non-coding
   9001    9200       +   0.677 Non-coding
   9004    9203       +   0.653 Non-coding
   9007    9206       +   0.717 Non-coding
   9010    9209       +   0.717 Non-coding
   9013    9212       +   0.683 Non-coding
   9016    9215       +   0.801 No opinion
   9019    9218       +   0.608 Non-coding
   9022    9221       +   0.720 Non-coding
   9025    9224       +   0.686 Non-coding
   9028    9227       +   0.587 Non-coding
   9031    9230       +   0.681 Non-coding
   9034    9233       +   0.628 Non-coding
   9037    9236       +   0.482 Non-coding
   9040    9239       +   0.470 Non-coding
   9043    9242       +   0.531 Non-coding
   9046    9245       +   0.531 Non-coding
   9049    9248       +   0.473 Non-coding
   9052    9251       +   0.517 Non-coding
   9055    9254       +   0.705 Non-coding
   9058    9257       +   0.596 Non-coding
   9061    9260       +   0.583 Non-coding
   9064    9263       +   0.615 Non-coding
   9067    9266       +   0.570 Non-coding
   9070    9269       +   0.590 Non-coding
   9073    9272       +   0.597 Non-coding
   9076    9275       +   0.571 Non-coding
   9079    9278       +   0.631 Non-coding
   9082    9281       +   0.544 Non-coding
   9085    9284       +   0.466 Non-coding
   9088    9287       +   0.535 Non-coding
   9091    9290       +   0.582 Non-coding
   9094    9293       +   0.558 Non-coding
   9097    9296       +   0.623 Non-coding
   9100    9299       +   0.625 Non-coding
   9103    9302       +   0.683 Non-coding
   9106    9305       +   0.799 No opinion
   9109    9308       +   0.708 Non-coding
   9112    9311       +   0.654 Non-coding
   9115    9314       +   0.659 Non-coding
   9118    9317       +   0.502 Non-coding
   9121    9320       +   0.502 Non-coding
   9124    9323       +   0.508 Non-coding
   9127    9326       +   0.531 Non-coding
   9130    9329       +   0.575 Non-coding
   9133    9332       +   0.516 Non-coding
   9136    9335       +   0.476 Non-coding
   9139    9338       +   0.394 Non-coding
   9142    9341       +   0.400 Non-coding
   9145    9344       +   0.395 Non-coding
   9148    9347       +   0.395 Non-coding
   9151    9350       +   0.395 Non-coding
   9154    9353       +   0.408 Non-coding
   9157    9356       +   0.413 Non-coding
   9160    9359       +   0.480 Non-coding
   9163    9362       +   0.451 Non-coding
   9166    9365       +   0.451 Non-coding
   9169    9368       +   0.472 Non-coding
   9172    9371       +   0.508 Non-coding
   9175    9374       +   0.553 Non-coding
   9178    9377       +   0.515 Non-coding
   9181    9380       +   0.515 Non-coding
   9184    9383       +   0.578 Non-coding
   9187    9386       +   0.604 Non-coding
   9190    9389       +   0.586 Non-coding
   9193    9392       +   0.562 Non-coding
   9196    9395       +   0.558 Non-coding
   9199    9398       +   0.541 Non-coding
   9202    9401       +   0.522 Non-coding
   9205    9404       +   0.550 Non-coding
   9208    9407       +   0.597 Non-coding
   9211    9410       +   0.534 Non-coding
   9214    9413       +   0.597 Non-coding
   9217    9416       +   0.566 Non-coding
   9220    9419       +   0.550 Non-coding
   9223    9422       +   0.492 Non-coding
   9226    9425       +   0.492 Non-coding
   9229    9428       +   0.476 Non-coding
   9232    9431       +   0.475 Non-coding
   9235    9434       +   0.524 Non-coding
   9238    9437       +   0.536 Non-coding
   9241    9440       +   0.541 Non-coding
   9244    9443       +   0.515 Non-coding
   9247    9446       +   0.488 Non-coding
   9250    9449       +   0.456 Non-coding
   9253    9452       +   0.469 Non-coding
   9256    9455       +   0.461 Non-coding
   9259    9458       +   0.433 Non-coding
   9262    9461       +   0.438 Non-coding
   9265    9464       +   0.460 Non-coding
   9268    9467       +   0.559 Non-coding
   9271    9470       +   0.533 Non-coding
   9274    9473       +   0.582 Non-coding
   9277    9476       +   0.590 Non-coding
   9280    9479       +   0.602 Non-coding
   9283    9482       +   0.584 Non-coding
   9286    9485       +   0.692 Non-coding
   9289    9488       +   0.652 Non-coding
   9292    9491       +   0.679 Non-coding
   9295    9494       +   0.697 Non-coding
   9298    9497       +   0.615 Non-coding
   9301    9500       +   0.692 Non-coding
   9304    9503       +   0.694 Non-coding
   9307    9506       +   0.699 Non-coding
   9310    9509       +   0.724 Non-coding
   9313    9512       +   0.657 Non-coding
   9316    9515       +   0.513 Non-coding
   9319    9518       +   0.592 Non-coding
   9322    9521       +   0.592 Non-coding
   9325    9524       +   0.704 Non-coding
   9328    9527       +   0.733 Non-coding
   9331    9530       +   0.725 Non-coding
   9334    9533       +   0.725 Non-coding
   9337    9536       +   0.696 Non-coding
   9340    9539       +   0.730 Non-coding
   9343    9542       +   0.730 Non-coding
   9346    9545       +   0.778 No opinion
   9349    9548       +   0.692 Non-coding
   9352    9551       +   0.840 No opinion
   9355    9554       +   0.779 No opinion
   9358    9557       +   0.833 No opinion
   9361    9560       +   0.797 No opinion
   9364    9563       +   0.760 No opinion
   9367    9566       +   0.831 No opinion
   9370    9569       +   0.831 No opinion
   9373    9572       +   0.954 Coding    
   9376    9575       +   0.840 No opinion
   9379    9578       +   0.874 No opinion
   9382    9581       +   0.781 No opinion
   9385    9584       +   0.781 No opinion
   9388    9587       +   0.863 No opinion
   9391    9590       +   0.805 No opinion
   9394    9593       +   0.788 No opinion
   9397    9596       +   0.783 No opinion
   9400    9599       +   0.736 Non-coding
   9403    9602       +   0.780 No opinion
   9406    9605       +   0.902 No opinion
   9409    9608       +   0.895 No opinion
   9412    9611       +   0.879 No opinion
   9415    9614       +   0.914 No opinion
   9418    9617       +   0.837 No opinion
   9421    9620       +   0.904 No opinion
   9424    9623       +   0.973 Coding    
   9427    9626       +   0.981 Coding    
   9430    9629       +   0.888 No opinion
   9433    9632       +   0.897 No opinion
   9436    9635       +   0.898 No opinion
   9439    9638       +   0.899 No opinion
   9442    9641       +   1.008 Coding    
   9445    9644       +   1.015 Coding    
   9448    9647       +   0.985 Coding    
   9451    9650       +   1.031 Coding    
   9454    9653       +   1.004 Coding    
   9457    9656       +   0.782 No opinion
   9460    9659       +   0.827 No opinion
   9463    9662       +   0.894 No opinion
   9466    9665       +   0.783 No opinion
   9469    9668       +   0.800 No opinion
   9472    9671       +   1.004 Coding    
   9475    9674       +   1.004 Coding    
   9478    9677       +   0.925 No opinion
   9481    9680       +   1.023 Coding    
   9484    9683       +   0.884 No opinion
   9487    9686       +   0.802 No opinion
   9490    9689       +   0.648 Non-coding
   9493    9692       +   0.648 Non-coding
   9496    9695       +   0.719 Non-coding
   9499    9698       +   0.719 Non-coding
   9502    9701       +   0.896 No opinion
   9505    9704       +   0.888 No opinion
   9508    9707       +   0.882 No opinion
   9511    9710       +   0.859 No opinion
   9514    9713       +   0.720 Non-coding
   9517    9716       +   0.722 Non-coding
   9520    9719       +   0.660 Non-coding
   9523    9722       +   0.757 No opinion
   9526    9725       +   0.741 No opinion
   9529    9728       +   0.853 No opinion
   9532    9731       +   0.853 No opinion
   9535    9734       +   0.852 No opinion
   9538    9737       +   0.727 Non-coding
   9541    9740       +   0.855 No opinion
   9544    9743       +   0.852 No opinion
   9547    9746       +   0.826 No opinion
   9550    9749       +   0.793 No opinion
   9553    9752       +   0.842 No opinion
   9556    9755       +   0.739 Non-coding
   9559    9758       +   0.753 No opinion
   9562    9761       +   0.732 Non-coding
   9565    9764       +   0.665 Non-coding
   9568    9767       +   0.737 Non-coding
   9571    9770       +   0.678 Non-coding
   9574    9773       +   0.790 No opinion
   9577    9776       +   0.763 No opinion
   9580    9779       +   0.688 Non-coding
   9583    9782       +   0.688 Non-coding
   9586    9785       +   0.771 No opinion
   9589    9788       +   0.771 No opinion
   9592    9791       +   0.768 No opinion
   9595    9794       +   0.734 Non-coding
   9598    9797       +   0.793 No opinion
   9601    9800       +   0.711 Non-coding
   9604    9803       +   0.833 No opinion
   9607    9806       +   0.812 No opinion
   9610    9809       +   0.788 No opinion
   9613    9812       +   0.806 No opinion
   9616    9815       +   0.747 No opinion
   9619    9818       +   0.806 No opinion
   9622    9821       +   0.879 No opinion
   9625    9824       +   0.927 No opinion
   9628    9827       +   0.927 No opinion
   9631    9830       +   0.927 No opinion
   9634    9833       +   0.781 No opinion
   9637    9836       +   0.784 No opinion
   9640    9839       +   0.784 No opinion
   9643    9842       +   0.797 No opinion
   9646    9845       +   0.804 No opinion
   9649    9848       +   0.807 No opinion
   9652    9851       +   0.779 No opinion
   9655    9854       +   0.682 Non-coding
   9658    9857       +   0.721 Non-coding
   9661    9860       +   0.739 Non-coding
   9664    9863       +   0.705 Non-coding
   9667    9866       +   0.680 Non-coding
   9670    9869       +   0.651 Non-coding
   9673    9872       +   0.684 Non-coding
   9676    9875       +   0.598 Non-coding
   9679    9878       +   0.638 Non-coding
   9682    9881       +   0.628 Non-coding
   9685    9884       +   0.719 Non-coding
   9688    9887       +   0.714 Non-coding
   9691    9890       +   0.623 Non-coding
   9694    9893       +   0.623 Non-coding
   9697    9896       +   0.637 Non-coding
   9700    9899       +   0.728 Non-coding
   9703    9902       +   0.637 Non-coding
   9706    9905       +   0.611 Non-coding
   9709    9908       +   0.613 Non-coding
   9712    9911       +   0.608 Non-coding
   9715    9914       +   0.606 Non-coding
   9718    9917       +   0.631 Non-coding
   9721    9920       +   0.660 Non-coding
   9724    9923       +   0.702 Non-coding
   9727    9926       +   0.711 Non-coding
   9730    9929       +   0.711 Non-coding
   9733    9932       +   0.853 No opinion
   9736    9935       +   0.821 No opinion
   9739    9938       +   0.849 No opinion
   9742    9941       +   0.877 No opinion
   9745    9944       +   0.877 No opinion
   9748    9947       +   0.846 No opinion
   9751    9950       +   0.817 No opinion
   9754    9953       +   0.828 No opinion
   9757    9956       +   0.711 Non-coding
   9760    9959       +   0.900 No opinion
   9763    9962       +   0.815 No opinion
   9766    9965       +   0.777 No opinion
   9769    9968       +   0.846 No opinion
   9772    9971       +   0.875 No opinion
   9775    9974       +   0.883 No opinion
   9778    9977       +   0.832 No opinion
   9781    9980       +   0.864 No opinion
   9784    9983       +   0.721 Non-coding
   9787    9986       +   0.721 Non-coding
   9790    9989       +   0.642 Non-coding
   9793    9992       +   0.676 Non-coding
   9796    9995       +   0.642 Non-coding
   9799    9998       +   0.783 No opinion
   9802   10001       +   0.670 Non-coding
   9805   10004       +   0.730 Non-coding
   9808   10007       +   0.694 Non-coding
   9811   10010       +   0.668 Non-coding
   9814   10013       +   0.689 Non-coding
   9817   10016       +   0.864 No opinion
   9820   10019       +   0.836 No opinion
   9823   10022       +   0.854 No opinion
   9826   10025       +   0.816 No opinion
   9829   10028       +   0.729 Non-coding
   9832   10031       +   0.647 Non-coding
   9835   10034       +   0.587 Non-coding
   9838   10037       +   0.626 Non-coding
   9841   10040       +   0.653 Non-coding
   9844   10043       +   0.647 Non-coding
   9847   10046       +   0.680 Non-coding
   9850   10049       +   0.670 Non-coding
   9853   10052       +   0.682 Non-coding
   9856   10055       +   0.649 Non-coding
   9859   10058       +   0.623 Non-coding
   9862   10061       +   0.656 Non-coding
   9865   10064       +   0.681 Non-coding
   9868   10067       +   0.681 Non-coding
   9871   10070       +   0.776 No opinion
   9874   10073       +   0.661 Non-coding
   9877   10076       +   0.661 Non-coding
   9880   10079       +   0.690 Non-coding
   9883   10082       +   0.607 Non-coding
   9886   10085       +   0.607 Non-coding
   9889   10088       +   0.629 Non-coding
   9892   10091       +   0.712 Non-coding
   9895   10094       +   0.709 Non-coding
   9898   10097       +   0.745 No opinion
   9901   10100       +   0.686 Non-coding
   9904   10103       +   0.774 No opinion
   9907   10106       +   0.776 No opinion
   9910   10109       +   0.800 No opinion
   9913   10112       +   0.751 No opinion
   9916   10115       +   0.708 Non-coding
   9919   10118       +   0.741 No opinion
   9922   10121       +   0.741 No opinion
   9925   10124       +   0.734 Non-coding
   9928   10127       +   0.560 Non-coding
   9931   10130       +   0.556 Non-coding
   9934   10133       +   0.617 Non-coding
   9937   10136       +   0.623 Non-coding
   9940   10139       +   0.664 Non-coding
   9943   10142       +   0.664 Non-coding
   9946   10145       +   0.664 Non-coding
   9949   10148       +   0.652 Non-coding
   9952   10151       +   0.722 Non-coding
   9955   10154       +   0.744 No opinion
   9958   10157       +   0.860 No opinion
   9961   10160       +   0.907 No opinion
   9964   10163       +   0.866 No opinion
   9967   10166       +   0.874 No opinion
   9970   10169       +   0.957 Coding    
   9973   10172       +   0.937 No opinion
   9976   10175       +   0.893 No opinion
   9979   10178       +   0.903 No opinion
   9982   10181       +   0.888 No opinion
   9985   10184       +   0.876 No opinion
   9988   10187       +   0.876 No opinion
   9991   10190       +   0.876 No opinion
   9994   10193       +   0.844 No opinion
   9997   10196       +   0.880 No opinion
  10000   10199       +   0.831 No opinion
  10003   10202       +   0.749 No opinion
  10006   10205       +   0.742 No opinion
  10009   10208       +   0.779 No opinion
  10012   10211       +   0.808 No opinion
  10015   10214       +   0.880 No opinion
  10018   10217       +   0.852 No opinion
  10021   10220       +   0.820 No opinion
  10024   10223       +   0.791 No opinion
  10027   10226       +   0.756 No opinion
  10030   10229       +   0.768 No opinion
  10033   10232       +   0.768 No opinion
  10036   10235       +   0.789 No opinion
  10039   10238       +   0.789 No opinion
  10042   10241       +   0.714 Non-coding
  10045   10244       +   0.744 No opinion
  10048   10247       +   0.750 No opinion
  10051   10250       +   0.829 No opinion
  10054   10253       +   0.829 No opinion
  10057   10256       +   0.787 No opinion
  10060   10259       +   0.832 No opinion
  10063   10262       +   0.818 No opinion
  10066   10265       +   0.833 No opinion
  10069   10268       +   0.949 No opinion
  10072   10271       +   0.921 No opinion
  10075   10274       +   0.934 No opinion
  10078   10277       +   0.838 No opinion
  10081   10280       +   0.894 No opinion
  10084   10283       +   0.724 Non-coding
  10087   10286       +   0.756 No opinion
  10090   10289       +   0.788 No opinion
  10093   10292       +   0.788 No opinion
  10096   10295       +   0.724 Non-coding
  10099   10298       +   0.692 Non-coding
  10102   10301       +   0.609 Non-coding
  10105   10304       +   0.674 Non-coding
  10108   10307       +   0.707 Non-coding
  10111   10310       +   0.660 Non-coding
  10114   10313       +   0.595 Non-coding
  10117   10316       +   0.595 Non-coding
  10120   10319       +   0.483 Non-coding
  10123   10322       +   0.516 Non-coding
  10126   10325       +   0.516 Non-coding
  10129   10328       +   0.418 Non-coding
  10132   10331       +   0.450 Non-coding
  10135   10334       +   0.452 Non-coding
  10138   10337       +   0.489 Non-coding
  10141   10340       +   0.476 Non-coding
  10144   10343       +   0.405 Non-coding
  10147   10346       +   0.405 Non-coding
  10150   10349       +   0.405 Non-coding
  10153   10352       +   0.423 Non-coding
  10156   10355       +   0.405 Non-coding
  10159   10358       +   0.460 Non-coding
  10162   10361       +   0.457 Non-coding
  10165   10364       +   0.399 Non-coding
  10168   10367       +   0.381 Non-coding
  10171   10370       +   0.442 Non-coding
  10174   10373       +   0.460 Non-coding
  10177   10376       +   0.520 Non-coding
  10180   10379       +   0.585 Non-coding
  10183   10382       +   0.567 Non-coding
  10186   10385       +   0.604 Non-coding
  10189   10388       +   0.464 Non-coding
  10192   10391       +   0.476 Non-coding
  10195   10394       +   0.440 Non-coding
  10198   10397       +   0.393 Non-coding
  10201   10400       +   0.450 Non-coding
  10204   10403       +   0.479 Non-coding
  10207   10406       +   0.479 Non-coding
  10210   10409       +   0.473 Non-coding
  10213   10412       +   0.473 Non-coding
  10216   10415       +   0.473 Non-coding
  10219   10418       +   0.510 Non-coding
  10222   10421       +   0.604 Non-coding
  10225   10424       +   0.602 Non-coding
  10228   10427       +   0.651 Non-coding
  10231   10430       +   0.711 Non-coding
  10234   10433       +   0.711 Non-coding
  10237   10436       +   0.771 No opinion
  10240   10439       +   0.771 No opinion
  10243   10442       +   0.695 Non-coding
  10246   10445       +   0.755 No opinion
  10249   10448       +   0.755 No opinion
  10252   10451       +   0.729 Non-coding
  10255   10454       +   0.717 Non-coding
  10258   10457       +   0.717 Non-coding
  10261   10460       +   0.717 Non-coding
  10264   10463       +   0.781 No opinion
  10267   10466       +   0.641 Non-coding
  10270   10469       +   0.628 Non-coding
  10273   10472       +   0.657 Non-coding
  10276   10475       +   0.691 Non-coding
  10279   10478       +   0.831 No opinion
  10282   10481       +   0.833 No opinion
  10285   10484       +   0.821 No opinion
  10288   10487       +   0.730 Non-coding
  10291   10490       +   0.689 Non-coding
  10294   10493       +   0.689 Non-coding
  10297   10496       +   0.689 Non-coding
  10300   10499       +   0.715 Non-coding
  10303   10502       +   0.715 Non-coding
  10306   10505       +   0.715 Non-coding
  10309   10508       +   0.715 Non-coding
  10312   10511       +   0.709 Non-coding
  10315   10514       +   0.691 Non-coding
  10318   10517       +   0.819 No opinion
  10321   10520       +   0.786 No opinion
  10324   10523       +   0.892 No opinion
  10327   10526       +   0.820 No opinion
  10330   10529       +   0.915 No opinion
  10333   10532       +   0.989 Coding    
  10336   10535       +   0.993 Coding    
  10339   10538       +   0.941 No opinion
  10342   10541       +   0.972 Coding    
  10345   10544       +   0.939 No opinion
  10348   10547       +   0.928 No opinion
  10351   10550       +   0.820 No opinion
  10354   10553       +   0.939 No opinion
  10357   10556       +   1.058 Coding    
  10360   10559       +   1.055 Coding    
  10363   10562       +   1.021 Coding    
  10366   10565       +   0.885 No opinion
  10369   10568       +   1.006 Coding    
  10372   10571       +   0.910 No opinion
  10375   10574       +   0.904 No opinion
  10378   10577       +   0.917 No opinion
  10381   10580       +   0.823 No opinion
  10384   10583       +   0.899 No opinion
  10387   10586       +   0.898 No opinion
  10390   10589       +   0.898 No opinion
  10393   10592       +   0.958 Coding    
  10396   10595       +   0.923 No opinion
  10399   10598       +   0.891 No opinion
  10402   10601       +   0.873 No opinion
  10405   10604       +   0.871 No opinion
  10408   10607       +   0.831 No opinion
  10411   10610       +   0.769 No opinion
  10414   10613       +   0.850 No opinion
  10417   10616       +   0.915 No opinion
  10420   10619       +   0.829 No opinion
  10423   10622       +   0.878 No opinion
  10426   10625       +   0.920 No opinion
  10429   10628       +   0.920 No opinion
  10432   10631       +   0.892 No opinion
  10435   10634       +   0.814 No opinion
  10438   10637       +   0.814 No opinion
  10441   10640       +   0.856 No opinion
  10444   10643       +   0.856 No opinion
  10447   10646       +   0.886 No opinion
  10450   10649       +   0.821 No opinion
  10453   10652       +   0.789 No opinion
  10456   10655       +   0.842 No opinion
  10459   10658       +   0.814 No opinion
  10462   10661       +   0.814 No opinion
  10465   10664       +   0.788 No opinion
  10468   10667       +   0.658 Non-coding
  10471   10670       +   0.757 No opinion
  10474   10673       +   0.767 No opinion
  10477   10676       +   0.837 No opinion
  10480   10679       +   0.840 No opinion
  10483   10682       +   0.814 No opinion
  10486   10685       +   0.883 No opinion
  10489   10688       +   0.826 No opinion
  10492   10691       +   0.932 No opinion
  10495   10694       +   0.932 No opinion
  10498   10697       +   0.826 No opinion
  10501   10700       +   0.894 No opinion
  10504   10703       +   0.894 No opinion
  10507   10706       +   0.886 No opinion
  10510   10709       +   0.863 No opinion
  10513   10712       +   0.896 No opinion
  10516   10715       +   0.863 No opinion
  10519   10718       +   0.870 No opinion
  10522   10721       +   0.883 No opinion
  10525   10724       +   0.905 No opinion
  10528   10727       +   0.879 No opinion
  10531   10730       +   0.879 No opinion
  10534   10733       +   0.981 Coding    
  10537   10736       +   0.998 Coding    
  10540   10739       +   0.905 No opinion
  10543   10742       +   0.993 Coding    
  10546   10745       +   1.027 Coding    
  10549   10748       +   0.931 No opinion
  10552   10751       +   0.905 No opinion
  10555   10754       +   0.922 No opinion
  10558   10757       +   0.976 Coding    
  10561   10760       +   0.978 Coding    
  10564   10763       +   0.985 Coding    
  10567   10766       +   0.998 Coding    
  10570   10769       +   0.982 Coding    
  10573   10772       +   0.926 No opinion
  10576   10775       +   0.878 No opinion
  10579   10778       +   0.910 No opinion
  10582   10781       +   0.723 Non-coding
  10585   10784       +   0.726 Non-coding
  10588   10787       +   0.731 Non-coding
  10591   10790       +   0.731 Non-coding
  10594   10793       +   0.753 No opinion
  10597   10796       +   0.769 No opinion
  10600   10799       +   0.956 Coding    
  10603   10802       +   0.974 Coding    
  10606   10805       +   0.950 Coding    
  10609   10808       +   0.930 No opinion
  10612   10811       +   0.948 No opinion
  10615   10814       +   0.943 No opinion
  10618   10817       +   0.878 No opinion
  10621   10820       +   0.895 No opinion
  10624   10823       +   0.805 No opinion
  10627   10826       +   0.715 Non-coding
  10630   10829       +   0.730 Non-coding
  10633   10832       +   0.709 Non-coding
  10636   10835       +   0.598 Non-coding
  10639   10838       +   0.709 Non-coding
  10642   10841       +   0.706 Non-coding
  10645   10844       +   0.685 Non-coding
  10648   10847       +   0.708 Non-coding
  10651   10850       +   0.702 Non-coding
  10654   10853       +   0.677 Non-coding
  10657   10856       +   0.681 Non-coding
  10660   10859       +   0.677 Non-coding
  10663   10862       +   0.779 No opinion
  10666   10865       +   0.703 Non-coding
  10669   10868       +   0.803 No opinion
  10672   10871       +   0.681 Non-coding
  10675   10874       +   0.566 Non-coding
  10678   10877       +   0.543 Non-coding
  10681   10880       +   0.543 Non-coding
  10684   10883       +   0.522 Non-coding
  10687   10886       +   0.530 Non-coding
  10690   10889       +   0.583 Non-coding
  10693   10892       +   0.583 Non-coding
  10696   10895       +   0.569 Non-coding
  10699   10898       +   0.652 Non-coding
  10702   10901       +   0.673 Non-coding
  10705   10904       +   0.665 Non-coding
  10708   10907       +   0.588 Non-coding
  10711   10910       +   0.621 Non-coding
  10714   10913       +   0.502 Non-coding
